folio_integrante;edad;ponderador;grupo;resultado_general_entrevista;region_Centro;region_Centro Norte;region_Frontera;region_Pacifico-Norte;region_Pacífico Sur;region_Pacífico-Centro;region_Península;sexo_Mujer;estrato_Rural  ( <2500 Hab );estrato_Urbano ( 2500-99,999 Hab)
2022_07008021_01;42;215979.556087415;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07008034_01;22;50150.4087743118;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_07008040_03;13;151740.838650305;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07020011_01;79;92847.3847764637;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_07039033_02;50;152768.864132093;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_07052022_03;26;93125.4343869897;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_07052023_01;56;117496.839949384;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07052027_01;61;117496.839949384;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07057002_01;41;196349.269380459;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07057011_02;81;55169.5270540665;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_07057012_02;50;55169.5270540665;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_07057021_01;39;196349.269380459;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07057022_01;72;103221.27263952;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07057025_01;59;103221.27263952;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_07058001_01;42;241738.704702877;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_07058003_02;24;136617.162419634;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_07058011_02;54;80284.8112465446;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_07058012_02;56;40142.4056232723;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
